Date,Year,Month,Weekday,Time,Hour,Transaction_Type,Amount,Location,Commute_Tag,IsPaidFare,MonthStart,WeekdayNum,DateTime
2025-10-25,2025,October,Saturday,17:05:00,17,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-10-01,5,2025-10-25 17:00:00
2025-12-14,2025,December,Sunday,16:30:00,16,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure,1,2025-12-01,6,2025-12-14 16:00:00
2025-12-24,2025,December,Wednesday,18:15:00,18,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure,1,2025-12-01,2,2025-12-24 18:00:00
2025-11-10,2025,November,Monday,16:35:00,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute,1,2025-11-01,0,2025-11-10 16:00:00
2025-12-07,2025,December,Sunday,15:30:00,15,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-12-01,6,2025-12-07 15:00:00
2025-12-25,2025,December,Thursday,08:35:00,8,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-12-01,3,2025-12-25 08:00:00
2025-12-09,2025,December,Tuesday,06:30:00,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-12-01,1,2025-12-09 06:00:00
2025-10-19,2025,October,Sunday,16:00:00,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-10-01,6,2025-10-19 16:00:00
2025-11-27,2025,November,Thursday,16:00:00,16,Fare Payment,4.12,FINCH STATION,Work Commute,1,2025-11-01,3,2025-11-27 16:00:00
2025-10-04,2025,October,Saturday,15:35:00,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-10-01,5,2025-10-04 15:00:00
2025-11-05,2025,November,Wednesday,07:25:00,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-11-01,2,2025-11-05 07:00:00
2025-12-17,2025,December,Wednesday,15:10:00,15,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Leisure,0,2025-12-01,2,2025-12-17 15:00:00
2025-12-17,2025,December,Wednesday,08:40:00,8,Free Transfer,0.0,YONGE ST / 16TH AVE,Leisure,0,2025-12-01,2,2025-12-17 08:00:00
2025-10-22,2025,October,Wednesday,07:40:00,7,Free Transfer,0.0,RICHMOND HILL CENTRE,Errand,0,2025-10-01,2,2025-10-22 07:00:00
2025-10-15,2025,October,Wednesday,08:25:00,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-10-01,2,2025-10-15 08:00:00
2025-10-08,2025,October,Wednesday,18:50:00,18,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Work Commute,0,2025-10-01,2,2025-10-08 18:00:00
2025-11-26,2025,November,Wednesday,08:15:00,8,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Leisure,0,2025-11-01,2,2025-11-26 08:00:00
2025-10-19,2025,October,Sunday,15:45:00,15,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,0,2025-10-01,6,2025-10-19 15:00:00
2025-11-20,2025,November,Thursday,16:30:00,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute,1,2025-11-01,3,2025-11-20 16:00:00
2025-11-22,2025,November,Saturday,06:20:00,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-11-01,5,2025-11-22 06:00:00
2025-10-19,2025,October,Sunday,06:45:00,6,Fare Payment,4.12,DON MILLS STATION,Leisure,1,2025-10-01,6,2025-10-19 06:00:00
2025-11-21,2025,November,Friday,07:25:00,7,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-11-01,4,2025-11-21 07:00:00
2025-11-13,2025,November,Thursday,17:10:00,17,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-11-01,3,2025-11-13 17:00:00
2025-11-18,2025,November,Tuesday,07:50:00,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-11-01,1,2025-11-18 07:00:00
2025-12-18,2025,December,Thursday,08:45:00,8,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-12-01,3,2025-12-18 08:00:00
2025-10-10,2025,October,Friday,06:50:00,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure,1,2025-10-01,4,2025-10-10 06:00:00
2025-11-24,2025,November,Monday,16:25:00,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-11-01,0,2025-11-24 16:00:00
2025-11-30,2025,November,Sunday,16:25:00,16,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-11-01,6,2025-11-30 16:00:00
2025-12-07,2025,December,Sunday,17:05:00,17,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,6,2025-12-07 17:00:00
2025-11-04,2025,November,Tuesday,07:20:00,7,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-11-01,1,2025-11-04 07:00:00
2025-12-10,2025,December,Wednesday,06:50:00,6,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand,1,2025-12-01,2,2025-12-10 06:00:00
2025-12-19,2025,December,Friday,07:10:00,7,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Leisure,0,2025-12-01,4,2025-12-19 07:00:00
2025-11-20,2025,November,Thursday,17:20:00,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-11-01,3,2025-11-20 17:00:00
2025-12-09,2025,December,Tuesday,06:00:00,6,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Work Commute,0,2025-12-01,1,2025-12-09 06:00:00
2025-10-19,2025,October,Sunday,16:20:00,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-10-01,6,2025-10-19 16:00:00
2025-10-13,2025,October,Monday,08:00:00,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-10-01,0,2025-10-13 08:00:00
2025-10-27,2025,October,Monday,08:45:00,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,0,2025-10-27 08:00:00
2025-11-20,2025,November,Thursday,07:40:00,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-11-01,3,2025-11-20 07:00:00
2025-12-16,2025,December,Tuesday,07:50:00,7,Free Transfer,0.0,FINCH STATION,Work Commute,0,2025-12-01,1,2025-12-16 07:00:00
2025-10-21,2025,October,Tuesday,06:40:00,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,1,2025-10-21 06:00:00
2025-12-17,2025,December,Wednesday,16:35:00,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-12-01,2,2025-12-17 16:00:00
2025-12-01,2025,December,Monday,18:45:00,18,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute,1,2025-12-01,0,2025-12-01 18:00:00
2025-12-10,2025,December,Wednesday,18:30:00,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-12-01,2,2025-12-10 18:00:00
2025-10-05,2025,October,Sunday,18:30:00,18,Free Transfer,0.0,YONGE ST / 16TH AVE,Errand,0,2025-10-01,6,2025-10-05 18:00:00
2025-12-17,2025,December,Wednesday,18:35:00,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Errand,1,2025-12-01,2,2025-12-17 18:00:00
2025-11-04,2025,November,Tuesday,17:35:00,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-11-01,1,2025-11-04 17:00:00
2025-11-21,2025,November,Friday,15:30:00,15,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-11-01,4,2025-11-21 15:00:00
2025-10-25,2025,October,Saturday,18:45:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,5,2025-10-25 18:00:00
